id,project_id,creator_id,description,gyr_status,plan_date,created_at,updated_at,num_gyr_status
1,4,2,milestone one,complete,2021-12-01,2021-11-30 04:23:12,2021-11-30 04:30:38,4
2,4,2,milestone two,green,2021-12-08,2021-11-30 04:23:27,2022-03-23 12:06:27,1
3,4,2,milestone three,red,2022-03-11,2021-11-30 04:29:11,2022-03-09 12:43:33,3
4,4,2,milestone four,green,2022-04-08,2021-11-30 04:29:44,2022-03-09 12:43:50,1
5,4,2,milestone 2.2,complete,2021-12-09,2021-11-30 04:30:13,2022-02-28 13:42:36,4
6,12,6,Set a key Milestone and Get er Done,green,2022-01-31,2022-01-15 17:17:14,2022-01-15 17:17:14,1
7,20,2,completed plan,complete,2022-01-19,2022-01-23 13:00:42,2022-01-23 13:00:42,4
8,25,42,Demo session,yellow,2022-02-02,2022-02-07 02:35:45,2022-02-07 02:35:45,2
9,36,46,Test Prod Milestone,complete,2022-03-01,2022-02-28 04:06:49,2022-02-28 04:06:49,4
10,2,2,Plan Complete,complete,2021-12-07,2022-02-28 12:32:43,2022-02-28 12:35:20,4
11,2,2,Approval for resources,complete,2021-12-30,2022-02-28 12:33:18,2022-02-28 12:33:18,4
12,2,2,Technical specs Complete,yellow,2022-01-03,2022-02-28 12:33:46,2022-02-28 12:35:05,2
13,2,2,training material complete,green,2022-03-02,2022-02-28 12:34:08,2022-02-28 12:35:36,1
14,2,2,Sponsor Sign-off done,green,2022-05-02,2022-02-28 12:36:16,2022-02-28 12:36:16,1
15,2,2,Review for Learnings,green,2022-05-04,2022-02-28 12:36:56,2022-02-28 12:36:56,1
16,56,52,School Last Day,yellow,2022-03-24,2022-03-12 13:11:54,2022-03-14 06:28:41,2
17,56,52,Fabrication Complete,green,2022-05-31,2022-03-12 13:12:22,2022-03-12 13:56:42,1
18,56,52,Project Newark BOE Complete,green,2022-08-16,2022-03-12 13:12:54,2022-03-13 14:18:52,1
19,56,52,GWC Project,green,2022-08-15,2022-03-12 13:13:17,2022-03-14 06:48:06,1
20,56,52,Tech HS Complete,green,2022-08-15,2022-03-12 13:13:41,2022-03-12 13:54:19,1
21,56,52,Weequahic HS Complete,green,2022-08-15,2022-03-12 13:14:35,2022-03-12 13:14:35,1
22,56,52,Barringer HS Complete,green,2022-08-15,2022-03-12 13:15:23,2022-03-12 13:15:23,1
23,56,52,Mechanical Work Complete,green,2022-03-15,2022-03-12 13:16:06,2022-03-12 13:16:06,1
24,64,56,Substantial Completion for all ECM's,green,2022-11-15,2022-03-14 10:38:57,2022-03-14 10:38:57,1
25,64,56,Final Completion for all ECM's,green,2022-12-29,2022-03-14 10:39:27,2022-03-14 10:39:27,1
26,64,56,Substantial Completion of Chiller Replacement ECM at Arts H.S.,yellow,2022-04-14,2022-03-14 10:39:53,2022-03-14 10:39:53,2
27,64,56,Substantial Completion of Boiler Replacement ECM at Technology H.S.,green,2022-09-30,2022-03-14 10:40:31,2022-03-14 10:41:24,1
28,64,56,Substantial Completion of UV Replacement ECM at Weequahic H.S,green,2022-08-12,2022-03-14 10:42:20,2022-03-14 10:42:52,1
29,64,56,Substantial Completion of UV Replacement ECM at George Washington Carver E.S,green,2022-08-12,2022-03-14 10:42:42,2022-03-14 10:42:42,1
30,64,56,Substantial Completion of UV Replacement ECM at Arts H.S,green,2022-08-12,2022-03-14 10:43:13,2022-03-14 10:43:13,1
31,64,56,Substantial Completion of UV Replacement ECM at Barringer H.S,green,2022-08-12,2022-03-14 10:43:32,2022-03-14 10:43:32,1
32,69,35,Epic 1 ends,complete,2022-02-25,2022-03-15 12:45:29,2022-03-21 05:31:12,4
